File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting x position [metres],Starting y position [metres],Starting z position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_f1202d09-34fa-4f20-b2fb-83ff91929264.h5,signal1,Harmonic,1.0048571427712552,27010233530.873585,118395930.0684166,18575.0,26891837600.80517,89.5,0.0022027710318246415,0.0014262029366964584,0.0,[78183530.98919322 -9006938.07342568   686810.00908256],1e-09,496.01680820182906,154.60765618550025,0.02,0.005
out_3a750b73-f075-4150-99f5-2f0d166dc2af.h5,signal1,Harmonic,1.0048571427712552,27008704630.145073,116867029.33990479,18575.0,26891837600.80517,89.5,9.267286542290883e-06,0.003835377618179088,0.0,[ 76953587.65513794 -16490445.67013461    686810.00908256],1e-09,496.03740642867444,154.60765618550025,0.02,0.005
out_fc631ddb-d234-4640-89a4-8037ff2010ac.h5,signal1,Harmonic,1.0048571427712552,27009445272.685547,117607671.88037872,18575.0,26891837600.80517,89.5,-0.0026176602937081285,-0.001985930392789946,0.0,[-76052843.8101384   20242391.15784875    686810.00908256],1e-09,496.02742731062335,154.60765618550025,0.02,0.005
out_97faf2cc-fa37-48ea-a0c8-2690ad54b2c2.h5,signal1,Harmonic,1.0048571427712552,27009072399.90135,117234799.09617996,18575.0,26891837600.80517,89.5,0.0029881407977464117,0.0010560559029398659,0.0,[-72972539.02487156 -29475379.55074127   -686810.00908256],1e-09,496.0324510698223,154.60765618550025,0.02,0.005
out_cc5f66d0-1c46-4296-9208-59231d606b3b.h5,signal1,Harmonic,1.0048571427712552,27009397367.089138,117559766.28396988,18575.0,26891837600.80517,89.5,-0.0011874872899093564,-0.003037792857015615,0.0,[-70678153.70307092 -34617741.70164398    686810.00908256],1e-09,496.02807272820564,154.60765618550025,0.02,0.005
out_65fd3706-d010-4a9c-b456-36140c686938.h5,signal1,Harmonic,1.0048571427712552,27008137246.94767,116299646.14250183,18575.0,26891837600.80517,89.5,-0.0033850245478181675,0.0021059947812749748,0.0,[-22008187.36724511  75560764.55545492    686810.00908256],1e-09,496.0450520832513,154.60765618550025,0.02,0.005
out_52dd2545-4167-406f-821b-9f07ab038c39.h5,signal1,Harmonic,1.0048571427712552,27010164036.46642,118326435.66125107,18575.0,26891837600.80517,89.5,-0.0020807960153841937,-0.00021132581436447803,0.0,[ 62421618.85362949 -47930480.39701737    686810.00908256],1e-09,496.0177443387658,154.60765618550025,0.02,0.005
out_2611b9fc-eb49-4b2d-a1b1-c9c644980a7e.h5,signal1,Harmonic,1.0048571427712552,27009177144.1036,117339543.2984314,18575.0,26891837600.80517,89.5,-0.0025811353218541,0.0015430694361705144,0.0,[ 59346359.09796212 -51689448.76096463    686810.00908256],1e-09,496.03103980234386,154.60765618550025,0.02,0.005
out_64819366-d35c-4a29-b4e9-73f2249b7d41.h5,signal1,Harmonic,1.0048571427712552,27006698376.071823,114860775.26665497,18575.0,26891837600.80517,89.5,0.003736329456844162,-0.001356575239237786,0.0,[59862882.75020151 51090358.3881762    686810.00908256],1e-09,496.0644450353881,154.60765618550025,0.02,0.005
out_8b6ef98b-5415-4031-b10d-b77630f66d27.h5,signal1,Harmonic,1.0048571427712552,27010388644.128296,118551043.32312775,18575.0,26891837600.80517,89.5,0.00023402600958264362,0.0019267866636647473,0.0,[-37046111.32544188  69436122.35039935    686810.00908256],1e-09,496.0147187659556,154.60765618550025,0.02,0.005
out_7dc4c4d5-86d1-4b4c-ac9a-1872cec5ef81.h5,signal1,Harmonic,1.0048571427712552,27010850426.6547,119012825.84953308,18575.0,26891837600.80517,89.5,-0.0014445229042069519,-0.0002039519112763265,0.0,[ 68322215.41089308 -39062313.45868014    686810.00908256],1e-09,496.0084987451129,154.60765618550025,0.02,0.005
out_45e1a887-ddea-4c15-8ae0-68991639e2ff.h5,signal1,Harmonic,1.0048571427712552,27010959021.177753,119121420.3725853,18575.0,26891837600.80517,89.5,0.000733915440213808,0.0009692980333366615,0.0,[-40492793.40481654  67484243.59560908   -686810.00908256],1e-09,496.0070361018323,154.60765618550025,0.02,0.005
