File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Trap length [metres],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_150e4a43-0e8b-46a7-b0d6-912f1f401203.h5,1.0,27025053014.487278,214409963.3250122,18575.0,26810643051.162266,89.5,[0.00175 0.      0.     ],[-76513179.70473675 -18426144.00430322    686810.00908256],1e-09,0.1,495.81746541844154,154.60765618550025,0.02,0.005
out_b5f169a0-3056-4e10-bed4-6d05fad1e061.h5,1.0,27024722537.511852,214079486.3495865,18575.0,26810643051.162266,89.6,[0.0015 0.     0.    ],[27570770.48890259 73714393.9686268   -549450.51785376],1e-09,0.1,495.82190460363887,154.60765618550025,0.02,0.005
out_3bf84350-5791-4457-b698-ac0785cf1a32.h5,1.0,27024122236.476257,213479185.31399155,18575.0,26810643051.162266,89.9,[0.00055 0.      0.     ],[32218108.00864648 71806934.25393584   137363.67554547],1e-09,0.1,495.82996896562423,154.60765618550025,0.02,0.005
out_85e07762-bf0f-41af-95d9-0e101c63b29c.h5,1.0,27023835127.230392,213192076.06812668,18575.0,26810643051.162266,90.0,[0.0047 0.     0.    ],[7.78292180e+07 1.16993154e+07 4.81920734e-09],1e-09,0.1,495.8338262810546,154.60765618550025,0.02,0.005
out_0ecb770e-9b2b-40f9-9b24-358bc7513c65.h5,1.0,27064339012.03918,253695960.87691498,18575.0,26810643051.162266,86.6,[0.00155 0.      0.     ],[ 12383673.81156111 -77582981.6542149    4667626.80126039],1e-09,0.1,495.2917524338257,154.60765618550025,0.02,0.005
out_15aeeafd-bc16-4b47-913b-9b8e04e4de3e.h5,1.0,27027218848.630238,216575797.4679718,18575.0,26810643051.162266,89.1,[0.0014 0.     0.    ],[-10105439.10981078 -78042379.59469597  -1236222.86846876],1e-09,0.1,495.7883794832793,154.60765618550025,0.02,0.005
out_2a3b8f99-16c1-44a4-9a17-1ba2e4efd1e8.h5,1.0,27068085145.135082,257442093.97281647,18575.0,26810643051.162266,86.5,[0.0017 0.     0.    ],[ 62231323.86038281 -47942026.95215681  -4804741.58389951],1e-09,0.1,495.24182941405945,154.60765618550025,0.02,0.005
out_88431871-8c62-4e20-8c7f-06d3f4dd02f1.h5,1.0,27026566287.05481,215923235.8925438,18575.0,26810643051.162266,89.2,[0.00165 0.      0.     ],[39063131.20050533 68316362.7220175  -1098874.25626444],1e-09,0.1,495.7971417436405,154.60765618550025,0.02,0.005
out_f31a2e55-93a5-426d-b61d-87fb15ac180c.h5,1.0,27056685049.33059,246041998.16832352,18575.0,26810643051.162266,86.9,[0.0005 0.     0.    ],[-43885495.73387556  65193628.48648755   4256198.8138556 ],1e-09,0.1,495.39386480607266,154.60765618550025,0.02,0.005
out_ca6fb4f7-e8a7-4674-8630-0bb636586364.h5,1.0,27025514314.10783,214871262.94556427,18575.0,26810643051.162266,89.4,[0.0005 0.     0.    ],[-71639821.95338936  32577873.13431034    824167.40816897],1e-09,0.1,495.8112694086611,154.60765618550025,0.02,0.005
out_1997466d-79ca-4af8-82e8-dfb70c5a27f1.h5,1.0,27024438687.15065,213795635.98838425,18575.0,26810643051.162266,89.7,[0.00075 0.      0.     ],[-77838813.31724623 -11628004.26183912   -412089.35290339],1e-09,0.1,495.82571769453915,154.60765618550025,0.02,0.005
out_301982a8-685a-4c4c-ad25-3befe3c9278c.h5,1.0,27024207809.47217,213564758.309906,18575.0,26810643051.162266,89.8,[0.0017 0.     0.    ],[-78339037.80087462  -7561801.43423825   -274726.93265739],1e-09,0.1,495.8288193328116,154.60765618550025,0.02,0.005
out_6c9dc3ab-4e75-4e82-88e6-f36f279c998b.h5,1.0,27027914317.86644,217271266.70417404,18575.0,26810643051.162266,89.0,[0.00065 0.      0.     ],[14717940.84409191 77303018.62429155  1373567.71492384],1e-09,0.1,495.77904229091604,154.60765618550025,0.02,0.005
